,round_epochs,val_loss,loss,batch_size,final_dropout,initial_dropout,lstm_layers,optimizer,units
0,10,0.009600408326647335,0.006843294916224891,200,0.5,0.5,3,adam,50
1,10,0.007247394524487345,0.006505202919501683,200,0.5,0.2,2,adam,50
2,10,0.006932575166809875,0.003970256669382597,200,0.5,0.2,2,adam,75
3,10,0.006990378467906393,0.005031879975235668,100,0.5,0.2,2,adam,50
4,10,0.006430974234112078,0.007124854091169505,100,0.5,0.5,2,rmsprop,50
5,10,0.006846540643251239,0.0052548330758923085,100,0.5,0.5,2,rmsprop,75
6,10,0.009381349097083809,0.006000371569574907,100,0.5,0.5,3,adam,50
7,10,0.009308942924747685,0.0038238368157682747,100,0.5,0.2,3,adam,75
8,10,0.010165576613876069,0.004540776095256723,200,0.5,0.2,3,adam,75
9,10,0.006838711303171048,0.005636924139127649,100,0.5,0.5,2,adam,50
10,10,0.010737918945382566,0.012317867901433131,200,0.5,0.5,3,rmsprop,50
11,10,0.01066614725967579,0.012207905874298564,200,0.5,0.5,3,rmsprop,75
12,10,0.009065583927985744,0.006992289619841452,100,0.5,0.5,3,rmsprop,75
13,10,0.006704104245161011,0.004713411073617894,200,0.5,0.5,2,adam,75
14,10,0.009878762810055848,0.005807429552078247,100,0.5,0.2,2,rmsprop,50
15,10,0.010914294235198076,0.007987773238584912,200,0.5,0.5,2,rmsprop,50
